filename,image_path,original_split,fold,group_id,group_size,numeric_id,stratum,gt_region_bin,small_text_bin,gt_regions,width,height,megapixels,aspect_long_short,brightness,contrast,blur_laplacian,short_side_1024_median,short_side_1024_q10,small_text_lt8_ratio,small_text_lt12_ratio,sha256,phash64
drp.en_ko.in_house.selectstar_000003.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000003.jpg,train,2,drp.en_ko.in_house.selectstar_000003.jpg,1,3,train_w1_s0,1,0,89,960,1280,1.2288,1.333333333,0.5232558307,0.2654196951,3355.947756,19.92802734,15.46929047,0.01123595506,0.05617977528,5df99e01bab0b5d4b19316190edcc46115ab4f462e325f803fb4537c85e62250,83cb3ec1314c6d67
drp.en_ko.in_house.selectstar_000005.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000005.jpg,train,3,drp.en_ko.in_house.selectstar_000005.jpg,1,5,train_w1_s0,1,0,99,720,1280,0.9216,1.777777778,0.5453535358,0.203891135,1455.051268,20.19199219,18.415224,0,0.0303030303,a2bc3152a791f6c5ea8a4b206325062b80c3a2bac3f45be7380a85171204bc75,b085477a6f9153b8
drp.en_ko.in_house.selectstar_000006.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000006.jpg,train,4,drp.en_ko.in_house.selectstar_000006.jpg,1,6,train_w0_s1,0,1,57,960,1280,1.2288,1.333333333,0.5363244549,0.225990099,893.2840455,13.38398132,9.047214661,0.0701754386,0.4736842105,4cbb5f9b62f4fbefa26cf20ce13c40c6fe892a95562e33fd91bb6a5ca05746b8,cb7d34c22fd229d0
drp.en_ko.in_house.selectstar_000007.jpg,data/datasets/images/val/drp.en_ko.in_house.selectstar_000007.jpg,val,2,drp.en_ko.in_house.selectstar_000007.jpg,1,7,val_w0_s0,0,0,76,960,1280,1.2288,1.333333333,0.6412851969,0.1882301469,3755.406663,23.9239975,14.25541763,0.02631578947,0.05263157895,06594497886533eb5dafe02e1f379113d8619153232f0157cfef04d409444dfc,80c0382f7f2f2f2e
drp.en_ko.in_house.selectstar_000008.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000008.jpg,train,0,drp.en_ko.in_house.selectstar_000008.jpg,1,8,train_w4_s0,4,0,162,398,1280,0.50944,3.216080402,0.7421843207,0.1308807616,2603.06834,14.7359848,12.41599365,0.03703703704,0.09259259259,a6c7d384e887423f453049f64af6a4e2c6d82fa0337dd05d8fb3e0d2d78efc33,b4ca54ab549b56aa
drp.en_ko.in_house.selectstar_000009.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000009.jpg,train,1,drp.en_ko.in_house.selectstar_000009.jpg,1,9,train_w3_s1,3,1,142,960,1280,1.2288,1.333333333,0.4977501763,0.171989309,1258.084798,15.99620972,7.621591644,0.1267605634,0.2042253521,59bbecf6612bb842d726b9cebca1dc31a36f7db726bfc0e16cc0bc67c16600c6,d2ad34666c8c2dd3
drp.en_ko.in_house.selectstar_000010.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000010.jpg,train,3,drp.en_ko.in_house.selectstar_000010.jpg,1,10,train_w0_s0,0,0,71,720,1280,0.9216,1.777777778,0.590214615,0.2242285183,1225.827067,22.90397949,15.68798828,0.01408450704,0.04225352113,5d52ce3a6787b7866cb4e5300343998618b5c6b0fb3bf390ade0db0dfb8f78ad,a5d0523d6ad72a3c
drp.en_ko.in_house.selectstar_000011.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000011.jpg,train,4,drp.en_ko.in_house.selectstar_000011.jpg,1,11,train_w3_s1,3,1,127,960,1280,1.2288,1.333333333,0.5208255543,0.2024783767,1564.872968,15.54341888,8.184013672,0.07086614173,0.157480315,efb319d577e73c34bdc6c44dd2425928d65e50c584d17174bc64450831dd1542,8bf3348f2cc63887
drp.en_ko.in_house.selectstar_000012.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000012.jpg,train,0,drp.en_ko.in_house.selectstar_000012.jpg,1,12,train_w2_s0,2,0,108,769,1280,0.98432,1.66449935,0.6044097255,0.2905989308,1764.488345,15.36800232,12.72756149,0,0.09259259259,7ed036cd840322646662f6af418efb1326ae40c9658ac05b7d2b4c615b90de60,c2a5575b2d2c2d78
drp.en_ko.in_house.selectstar_000014.jpg,data/datasets/images/train/drp.en_ko.in_house.selectstar_000014.jpg,train,1,drp.en_ko.in_house.selectstar_000014.jpg,1,14,train_w0_s1,0,1,87,960,1280,1.2288,1.333333333,0.5133313347,0.2104138914,1392.336871,20.31999512,10.80042984,0.01149425287,0.1379310345,07be738eeb882acfd33c80fb1c9a250d8956c7a8740b897bc3c0e1cc2646adf0,95e56a0a6ada6a5a
